image_id,gold,P0_ko_first,P1_ch_first,P2_more_digits,P3_ch_if_disagree_year
000383,2026-04-03,2026-04-03,2026-04-03,2026-04-03,2026-04-03
000384,2026-07-08,2026-07-08,2026-07-08,2026-07-08,2026-07-08
000385,2026-09-14,2026-09-14,2026-09-14,2026-09-14,2026-09-14
000386,2026-06-10,2026-06-10,2026-06-10,2026-06-10,2026-06-10
000387,2027-01-21,2027-01-21,2027-01-21,2027-01-21,2027-01-21
000388,2026-01-15,2026-01-15,2026-01-15,2026-01-15,2026-01-15
000389,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27
000390,2026-05-19,2026-05-19,2026-05-19,2026-05-19,2026-05-19
000391,2026-12-10,2026-12-10,2026-12-10,2026-12-10,2026-12-10
000392,2026-08-28,2026-08-28,2025-08-29,2025-08-29,2025-08-29
000393,2027-08-02,2027-08-02,2027-08-02,2027-08-02,2027-08-02
000394,2020-04-14,NONE,NONE,NONE,NONE
000395,2026-03-15,NONE,NONE,NONE,NONE
000396,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27
000397,2026-02-19,2026-02-19,2026-02-19,2026-02-19,2026-02-19
000398,2027-07-30,2027-07-30,2027-07-30,2027-07-30,2027-07-30
000399,2027-01-31,2027-01-31,2027-01-31,2027-01-31,2027-01-31
000400,2026-01-11,2026-01-11,2026-01-11,2026-01-11,2026-01-11
000401,2027-04-12,2027-04-12,2027-04-12,2027-04-12,2027-04-12
000402,2028-04-19,2028-04-19,2028-04-19,2028-04-19,2028-04-19
000403,2027-04-01,NONE,NONE,NONE,NONE
000404,2026-06-10,2026-06-10,2026-06-10,2026-06-10,2026-06-10
000405,2027-10-15,2027-10-15,2027-10-15,2027-10-15,2027-10-15
000406,2026-08-27,2028-08-05,2028-08-05,2028-08-05,2028-08-05
000407,2025-12-01,2025-12-01,2025-12-01,2025-12-01,2025-12-01
000408,2025-10-09,2025-10-09,2025-10-09,2025-10-09,2025-10-09
000409,2027-03-26,NONE,NONE,NONE,NONE
000410,2027-04-13,2027-04-13,2027-04-13,2027-04-13,2027-04-13
000411,2026-09-09,2026-09-09,2026-09-09,2026-09-09,2026-09-09
000412,2026-01-19,2026-01-19,2026-01-19,2026-01-19,2026-01-19
000413,2027-04-23,2027-04-23,2027-04-23,2027-04-23,2027-04-23
000414,2026-04-07,2026-04-07,2026-04-07,2026-04-07,2026-04-07
000415,2026-05-27,NONE,NONE,NONE,NONE
000416,2026-04-07,NONE,NONE,NONE,NONE
000417,2026-03-15,2026-03-15,2026-03-15,2026-03-15,2026-03-15
000418,2026-09-08,2026-09-08,2026-09-08,2026-09-08,2026-09-08
000419,2026-08-05,2026-08-05,2026-08-05,2026-08-05,2026-08-05
000420,2025-12-04,2025-12-04,2025-12-04,2025-12-04,2025-12-04
000421,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2026-07-17
000422,2026-06-09,2026-06-09,2026-06-09,2026-06-09,2026-06-09
000423,2026-06-04,2026-06-04,2026-06-04,2026-06-04,2026-06-04
000424,2026-03-28,2026-03-28,2026-03-28,2026-03-28,2026-03-28
000425,2025-11-05,2025-11-05,2025-11-05,2025-11-05,2025-11-05
000426,2026-12-26,2026-12-26,2026-12-26,2026-12-26,2026-12-26
000427,2027-04-01,2027-04-01,2027-04-01,2027-04-01,2027-04-01
000428,2026-04-23,2025-04-23,2026-04-23,2026-04-23,2026-04-23
000429,2026-01-04,NONE,NONE,NONE,NONE
000430,2028-02-01,2028-02-01,2028-02-01,2028-02-01,2028-02-01
000431,2026-03-17,2026-03-17,2026-03-17,2026-03-17,2026-03-17
000432,2027-04-28,2027-04-28,2027-04-28,2027-04-28,2027-04-28
000433,2026-08-05,2026-03-05,2026-03-05,2026-03-05,2026-03-05
000434,2026-10-28,2026-10-28,2026-10-28,2026-10-28,2026-10-28
000435,2026-07-14,2026-07-14,2026-07-14,2026-07-14,2026-07-14
000436,2026-02-12,2026-02-12,2026-02-12,2026-02-12,2026-02-12
000437,2025-11-19,NONE,NONE,NONE,NONE
000438,2026-02-19,NONE,NONE,NONE,NONE
000439,2026-03-18,2026-03-18,2026-03-18,2026-03-18,2026-03-18
000440,2026-08-13,NONE,NONE,NONE,NONE
000441,2025-12-15,2025-12-NONE,NONE,NONE,NONE
000442,2025-11-30,2025-11-30,2025-11-30,2025-11-30,2025-11-30
000443,2026-04-06,2026-04-06,2026-04-06,2026-04-06,2026-04-06
000444,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01
000445,2026-07-17,2026-07-17,2026-07-17,2026-07-17,2026-07-17
000446,2026-04-11,2025-04-11,2026-04-11,2025-04-11,2026-04-11
000447,2025-11-22,2025-11-22,2025-11-22,2025-11-22,2025-11-22
000448,2026-08-20,2026-08-20,2026-08-20,2026-08-20,2026-08-20
000449,2026-01-28,2026-01-28,2026-01-28,2026-01-28,2026-01-28
000450,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11
000451,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27
000452,2026-03-25,NONE,NONE,NONE,NONE
000453,2026-01-26,2026-01-26,2026-01-26,2026-01-26,2026-01-26
000454,2025-07-15,2025-07-15,2025-07-15,2025-07-15,2025-07-15
000455,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2026-02-10
000456,2025-12-26,2025-12-26,2025-12-26,2025-12-26,2025-12-26
000457,2026-06-18,2026-06-18,2026-06-18,2026-06-18,2026-06-18
000458,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01
000459,2026-01-19,2026-01-19,2026-01-19,2026-01-19,2026-01-19
000460,2025-12-03,2025-12-03,2025-12-03,2025-12-03,2025-12-03
000461,2026-11-28,2026-11-28,2026-11-28,2026-11-28,2026-11-28
000462,2027-05-27,2027-05-27,2027-05-27,2027-05-27,2027-05-27
000463,2027-02-14,2027-02-01,2027-02-01,2027-02-01,2027-02-01
000464,2026-03-19,2026-03-19,2026-03-19,2026-03-19,2026-03-19
000465,2027-07-30,2027-07-30,2027-07-30,2027-07-30,2027-07-30
000466,2027-06-07,2027-06-07,2027-06-07,2027-06-07,2027-06-07
000467,2025-12-26,2025-12-26,2025-12-26,2025-12-26,2025-12-26
000468,2026-04-06,2025-06-10,2026-04-06,2026-04-06,2026-04-06
000469,2026-07-21,2026-07-21,2026-07-21,2026-07-21,2026-07-21
000470,2026-08-06,2026-08-06,2026-08-06,2026-08-06,2026-08-06
000471,2027-01-08,2027-01-08,2027-01-08,2027-01-08,2027-01-08
000472,2026-01-17,2026-01-17,2026-01-17,2026-01-17,2026-01-17
000473,2026-05-21,NONE,NONE,NONE,NONE
000474,2026-06-26,NONE,NONE,NONE,NONE
000475,2026-07-30,NONE,NONE,NONE,NONE
000476,2026-07-06,2026-07-06,2026-07-06,2026-07-06,2026-07-06
000477,2026-07-21,2026-07-21,2026-07-21,2026-07-21,2026-07-21
000478,2026-06-11,NONE,NONE,NONE,NONE
000479,2026-05-22,2026-05-22,2026-05-22,2026-05-22,2026-05-22
000480,2026-06-04,2026-07-21,2026-07-21,2026-07-21,2026-07-21
000481,2026-03-09,2026-03-09,2026-03-09,2026-03-09,2026-03-09
000482,2026-11-14,NONE,NONE,NONE,NONE
000483,2027-04-15,2027-04-15,2027-04-15,2027-04-15,2027-04-15
000484,2027-11-14,2027-11-14,2027-11-14,2027-11-14,2027-11-14
000485,2027-09-17,2027-09-17,2027-09-17,2027-09-17,2027-09-17
000486,2027-07-15,NONE,NONE,NONE,NONE
000487,2027-12-11,2027-12-11,2027-12-11,2027-12-11,2027-12-11
000488,2026-02-27,2026-02-27,2026-02-27,2026-02-27,2026-02-27
000489,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08
000490,2025-11-27,2025-11-27,2025-11-27,2025-11-27,2025-11-27
000491,2026-09-19,2026-09-19,2026-09-19,2026-09-19,2026-09-19
000492,2026-03-12,2026-03-12,2026-03-12,2026-03-12,2026-03-12
000493,2026-06-17,2026-06-17,2026-06-17,2026-06-17,2026-06-17
000494,2025-12-12,NONE,NONE,NONE,NONE
000495,2026-02-19,2026-02-19,2026-02-19,2026-02-19,2026-02-19
000496,2027-03-05,2027-03-05,2027-03-05,2027-03-05,2027-03-05
000497,2026-08-31,2026-08-31,2026-08-31,2026-08-31,2026-08-31
000498,2026-03-07,NONE,NONE,NONE,NONE
000499,2026-05-13,2026-05-13,2026-05-13,2026-05-13,2026-05-13
000500,2026-12-17,2026-12-17,2026-12-17,2026-12-17,2026-12-17
000501,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24
000502,2026-06-20,2026-06-20,2026-06-20,2026-06-20,2026-06-20
000503,2026-02-18,2026-02-18,2026-02-18,2026-02-18,2026-02-18
000504,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28
000505,2026-03-02,2026-03-02,2026-03-02,2026-03-02,2026-03-02
000506,2026-06-18,2026-06-18,2026-06-18,2026-06-18,2026-06-18
000507,2026-05-19,2026-05-19,2026-05-19,2026-05-19,2026-05-19
000508,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25
000509,2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-01
000510,2026-09-03,2026-09-03,2026-09-03,2026-09-03,2026-09-03
000511,2026-03-24,2026-03-24,2026-03-24,2026-03-24,2026-03-24
000512,2026-02-17,2026-02-17,2026-02-17,2026-02-17,2026-02-17
000513,2026-09-03,NONE,NONE,NONE,NONE
000514,2026-07-13,2026-07-13,2026-07-13,2026-07-13,2026-07-13
000515,2026-01-NONE,NONE,NONE,NONE,NONE
000516,2026-07-16,2026-07-16,2026-07-16,2026-07-16,2026-07-16
000517,2026-09-25,2026-09-25,2026-09-25,2026-09-25,2026-09-25
000518,2026-09-14,2026-09-14,2026-09-14,2026-09-14,2026-09-14
000519,2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-10
000520,2026-09-15,2026-09-15,2026-09-15,2026-09-15,2026-09-15
000521,2026-03-10,2026-03-10,2026-03-10,2026-03-10,2026-03-10
000522,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21
000523,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2026-03-23
000524,2026-06-18,2026-06-18,2026-06-18,2026-06-18,2026-06-18
000525,2027-09-08,2027-09-08,2027-09-08,2027-09-08,2027-09-08
000526,2026-07-04,NONE,NONE,NONE,NONE
000527,2025-10-12,2025-10-12,2025-10-12,2025-10-12,2025-10-12
000528,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11
000529,2026-01-12,2026-01-12,2026-01-12,2026-01-12,2026-01-12
000530,2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24
000531,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28
000532,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28
000533,2026-03-26,2026-03-26,2026-03-26,2026-03-26,2026-03-26
000534,2027-01-29,NONE,NONE,NONE,NONE
000535,2026-02-04,2026-02-04,2026-02-04,2026-02-04,2026-02-04
000536,2026-01-01,2026-01-01,2026-01-01,2026-01-01,2026-01-01
000537,2026-05-08,NONE,NONE,NONE,NONE
000538,2026-02-06,2026-02-06,2026-02-06,2026-02-06,2026-02-06
000539,2027-08-11,NONE,NONE,NONE,NONE
000540,2026-03-24,2025-03-24,2025-03-24,2025-03-24,2025-03-24
000541,2026-03-22,2026-03-22,2026-03-22,2026-03-22,2026-03-22
000542,2027-07-22,2027-07-22,2027-07-22,2027-07-22,2027-07-22
000543,2026-06-23,NONE,NONE,NONE,NONE
000544,2029-06-25,NONE,NONE,NONE,NONE
000545,2027-07-09,2027-07-09,2027-07-09,2027-07-09,2027-07-09
000546,2026-08-10,2026-08-10,2026-08-10,2026-08-10,2026-08-10
000547,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-05-28
000548,2026-05-26,2026-05-26,2026-05-26,2026-05-26,2026-05-26
000549,2027-01-16,NONE,NONE,NONE,NONE
000550,2026-05-29,2026-05-29,2026-05-29,2026-05-29,2026-05-29
000551,2026-12-19,2026-12-19,2026-12-19,2026-12-19,2026-12-19
000552,2026-09-07,2026-09-07,2026-09-07,2026-09-07,2026-09-07
000553,2028-10-24,NONE,NONE,NONE,NONE
000554,2027-09-17,2027-09-17,2027-09-17,2027-09-17,2027-09-17
000555,2027-04-16,2027-04-16,2027-04-16,2027-04-16,2027-04-16
000556,2026-08-07,2026-08-07,2026-08-07,2026-08-07,2026-08-07
000557,2026-08-12,2026-08-12,2026-08-12,2026-08-12,2026-08-12
000558,2025-05-16,2025-05-16,2025-05-16,2025-05-16,2025-05-16
000559,2027-04-21,2027-04-21,2027-04-21,2027-04-21,2027-04-21
000560,2027-07-13,2027-07-13,2027-07-13,2027-07-13,2027-07-13
000561,2028-08-07,2028-08-07,2028-08-07,2028-08-07,2028-08-07
000562,2025-12-30,2025-12-30,2025-12-30,2025-12-30,2025-12-30
000563,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10
000564,2026-06-25,2026-06-25,2026-06-25,2026-06-25,2026-06-25
000565,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05
000566,2026-09-17,2026-09-17,2026-09-17,2026-09-17,2026-09-17
000567,2025-10-29,2025-10-29,2025-10-29,2025-10-29,2025-10-29
000568,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-02-23
000569,2025-11-02,2025-11-02,2025-11-02,2025-11-02,2025-11-02
000570,2026-05-20,2026-05-20,2026-05-20,2026-05-20,2026-05-20
000571,NONE-10-18,NONE-10-18,NONE,NONE,NONE
000572,NONE-10-15,NONE,NONE-10-15,NONE-10-15,NONE-10-15
000573,NONE-10-22,NONE,NONE,NONE,NONE
000574,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24
000575,NONE-10-14,NONE,NONE,NONE,NONE
000576,2026-05-21,2026-05-21,2026-05-21,2026-05-21,2026-05-21
000577,2026-04-20,2026-04-20,2026-04-20,2026-04-20,2026-04-20
000578,2026-03-04,2026-03-04,2026-03-04,2026-03-04,2026-03-04
000579,2026-07-10,2026-07-10,2026-07-10,2026-07-10,2026-07-10
000580,2026-02-28,2027-01-09,2026-02-28,2026-02-28,2026-02-28
000581,2026-02-25,2026-02-25,2026-02-25,2026-02-25,2026-02-25
000582,2025-11-21,2025-01-21,2025-01-21,2025-01-21,2025-01-21
000583,2025-11-23,NONE,NONE,NONE,NONE
000584,2026-07-15,2026-07-15,2026-07-15,2026-07-15,2026-07-15
000585,2026-05-16,2026-05-NONE,2026-05-NONE,2026-05-NONE,2026-05-NONE
000586,2026-03-14,NONE,NONE,NONE,NONE
000587,2026-02-07,2026-02-07,2026-02-07,2026-02-07,2026-02-07
000588,2025-11-28,2025-11-28,2025-11-28,2025-11-28,2025-11-28
000589,2026-04-02,2026-04-02,2026-04-02,2026-04-02,2026-04-02
000590,2025-12-05,2025-12-05,2025-12-05,2025-12-05,2025-12-05
000591,2026-07-27,2026-07-27,2026-07-27,2026-07-27,2026-07-27
000592,2025-03-25,2025-03-25,2025-03-25,2025-03-25,2025-03-25
000593,2026-07-22,NONE,NONE,NONE,NONE
000594,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25
000595,2026-05-01,2026-05-01,2026-05-01,2026-05-01,2026-05-01
000596,2026-08-13,2026-08-13,2026-08-13,2026-08-13,2026-08-13
000597,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02
000598,2026-03-09,2026-03-09,2026-03-09,2026-03-09,2026-03-09
000599,2026-09-04,2026-09-04,2026-09-04,2026-09-04,2026-09-04
000600,2026-08-31,2026-08-31,2026-08-31,2026-08-31,2026-08-31
000601,2026-01-27,2026-01-27,2026-01-27,2026-01-27,2026-01-27
000602,2026-09-22,2026-09-22,2026-09-22,2026-09-22,2026-09-22
000603,2026-09-24,2026-09-24,2026-09-24,2026-09-24,2026-09-24
000604,2026-09-15,2026-09-15,2026-09-15,2026-09-15,2026-09-15
000605,2028-07-01,NONE,NONE,NONE,NONE
000606,2026-10-01,NONE,NONE,NONE,NONE
000607,2028-06-23,2028-06-23,2028-06-23,2028-06-23,2028-06-23
000608,2026-08-13,NONE,NONE,NONE,NONE
000609,2027-06-11,2027-06-11,2027-06-11,2027-06-11,2027-06-11
000610,2026-06-04,2026-06-04,2026-06-04,2026-06-04,2026-06-04
000611,2026-07-20,2026-07-20,2026-07-20,2026-07-20,2026-07-20
000612,2026-05-07,2026-05-07,2026-05-07,2026-05-07,2026-05-07
000613,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-05-28
000614,2026-03-07,2026-03-07,2026-03-07,2026-03-07,2026-03-07
000615,2026-03-24,2026-03-24,2026-03-24,2026-03-24,2026-03-24
000616,2026-09-10,2026-09-10,2026-09-10,2026-09-10,2026-09-10
000617,2026-07-11,NONE,NONE,NONE,NONE
000618,2026-08-26,2026-08-26,2026-08-26,2026-08-26,2026-08-26
000619,2026-09-15,2026-09-15,2026-09-15,2026-09-15,2026-09-15
000620,2026-07-06,2026-07-06,2026-07-06,2026-07-06,2026-07-06
000621,2026-08-25,2026-08-25,2026-08-25,2026-08-25,2026-08-25
000622,2027-01-22,2027-01-02,2027-01-02,2027-01-02,2027-01-02
000623,2027-03-10,NONE,NONE,NONE,NONE
000624,2027-06-15,2027-06-15,2027-06-15,2027-06-15,2027-06-15
000625,2027-04-01,2027-04-01,2027-04-01,2027-04-01,2027-04-01
000626,2026-07-01,2026-07-01,2026-07-01,2026-07-01,2026-07-01
000627,2026-10-06,NONE,NONE,NONE,NONE
000628,2025-02-03,NONE,NONE,NONE,NONE
000629,2025-09-22,NONE,NONE,NONE,NONE
000630,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31
000631,2025-11-15,2025-11-15,2025-11-15,2025-11-15,2025-11-15
000632,2025-12-28,2025-12-28,2025-12-28,2025-12-28,2025-12-28
000633,2025-12-24,2025-12-24,2025-12-24,2025-12-24,2025-12-24
000634,2026-02-05,2026-02-05,2026-02-05,2026-02-05,2026-02-05
000635,2026-02-21,2026-02-21,2026-02-21,2026-02-21,2026-02-21
000636,2026-03-09,2026-03-09,2026-03-09,2026-03-09,2026-03-09
000637,2026-06-17,2026-06-17,2026-06-17,2026-06-17,2026-06-17
000638,2026-06-16,2026-06-16,2026-06-16,2026-06-16,2026-06-16
000639,2026-02-02,2026-02-02,2026-02-02,2026-02-02,2026-02-02
000640,2026-02-08,2026-02-08,2026-02-08,2026-02-08,2026-02-08
000641,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02
000642,2026-09-01,NONE,NONE,NONE,NONE
000643,2026-01-21,2026-01-21,2026-01-21,2026-01-21,2026-01-21
000644,2027-03-11,2027-03-11,2027-03-11,2027-03-11,2027-03-11
000645,2025-05-13,2025-05-13,2025-05-13,2025-05-13,2025-05-13
000646,2027-01-15,2027-01-15,2027-01-15,2027-01-15,2027-01-15
000647,2026-08-19,2026-08-19,2026-08-19,2026-08-19,2026-08-19
000648,2026-08-25,NONE,NONE,NONE,NONE
000649,2027-04-07,NONE,NONE,NONE,NONE
000650,2026-08-05,2026-08-05,2026-08-05,2026-08-05,2026-08-05
000651,2026-06-25,NONE,NONE,NONE,NONE
000652,2027-03-31,2027-03-31,2027-03-31,2027-03-31,2027-03-31
000653,2027-01-19,2027-01-19,2027-01-19,2027-01-19,2027-01-19
000654,2028-07-02,2028-07-02,2028-07-02,2028-07-02,2028-07-02
000655,2026-08-27,2026-08-27,2026-08-27,2026-08-27,2026-08-27
000656,2026-09-04,2026-09-04,2026-09-04,2026-09-04,2026-09-04
000657,2026-07-27,2026-07-27,2026-07-27,2026-07-27,2026-07-27
000658,2026-01-16,2026-01-16,2026-01-16,2026-01-16,2026-01-16
000659,2026-08-24,2026-08-24,2026-08-24,2026-08-24,2026-08-24
000660,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28
000661,2026-04-17,2026-04-17,2026-04-17,2026-04-17,2026-04-17
000662,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11
000663,2026-02-10,2026-02-10,2026-02-10,2026-02-10,2026-02-10
000664,2026-02-20,2026-02-20,2026-02-20,2026-02-20,2026-02-20
000665,2026-03-25,2026-03-25,2026-03-25,2026-03-25,2026-03-25
000666,2026-09-01,NONE,NONE,NONE,NONE
000667,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22
000668,2026-04-30,2026-04-30,2026-04-30,2026-04-30,2026-04-30
000669,2026-09-02,2026-09-02,2026-09-02,2026-09-02,2026-09-02
000670,2026-06-24,NONE,NONE,NONE,NONE
000671,2026-03-31,2026-03-31,2026-03-31,2026-03-31,2026-03-31
000672,2026-02-08,2026-02-08,2026-02-08,2026-02-08,2026-02-08
000673,2026-06-02,NONE,NONE,NONE,NONE
000674,2026-06-02,2026-06-02,2026-06-02,2026-06-02,2026-06-02
000675,2028-06-03,2028-06-03,2028-06-03,2028-06-03,2028-06-03
000676,2026-06-10,2026-06-10,2026-06-10,2026-06-10,2026-06-10
000677,2027-08-17,2027-08-17,2027-08-17,2027-08-17,2027-08-17
000678,2026-07-24,2026-07-24,2026-07-24,2026-07-24,2026-07-24
000679,2027-09-17,2027-09-17,2027-09-17,2027-09-17,2027-09-17
000680,2025-10-15,2025-10-15,2025-10-15,2025-10-15,2025-10-15
000681,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09
000682,2026-01-25,NONE,NONE,NONE,NONE
000683,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11
000684,2026-03-23,2026-03-23,2026-03-23,2026-03-23,2026-03-23
000685,2026-05-28,2026-05-28,2026-05-28,2026-05-28,2026-05-28
000686,2025-10-03,NONE,NONE,NONE,NONE
000687,2025-10-17,2025-10-17,2025-10-17,2025-10-17,2025-10-17
000688,2025-11-10,2025-11-10,2025-11-10,2025-11-10,2025-11-10
000689,2025-10-27,2025-10-27,2025-10-27,2025-10-27,2025-10-27
000690,2025-10-11,2025-10-11,2025-10-11,2025-10-11,2025-10-11
000691,2026-09-22,2026-09-22,2026-09-22,2026-09-22,2026-09-22
000692,2026-08-21,2026-08-21,2026-08-21,2026-08-21,2026-08-21
000693,2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-01
000694,2026-09-01,NONE,NONE,NONE,NONE
000695,2027-09-09,NONE,NONE,NONE,NONE
000696,2025-10-28,2025-10-28,2025-10-28,2025-10-28,2025-10-28
000697,2025-10-07,2025-10-07,2025-10-07,2025-10-07,2025-10-07
000698,NONE-10-12,NONE-10-12,NONE,NONE,NONE
000699,2025-10-27,NONE,NONE,NONE,NONE
000700,2025-10-24,2025-10-24,2025-10-24,2025-10-24,2025-10-24
000701,2025-10-05,2025-10-05,2025-10-05,2025-10-05,2025-10-05
000702,2025-10-09,2025-10-09,2025-10-09,2025-10-09,2025-10-09
000703,2026-01-25,2026-01-25,2026-01-25,2026-01-25,2026-01-25
000704,2026-07-29,2026-07-29,2026-07-29,2026-07-29,2026-07-29
000705,2026-06-29,2026-06-29,2026-06-29,2026-06-29,2026-06-29
000706,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11
000707,2026-08-19,2026-08-19,2026-08-19,2026-08-19,2026-08-19
000708,2025-09-18,2025-09-18,2025-09-18,2025-09-18,2025-09-18
000709,2025-10-14,2025-10-14,2025-10-14,2025-10-14,2025-10-14
000710,2025-10-14,2025-10-14,2025-10-14,2025-10-14,2025-10-14
000711,2025-10-09,2025-10-09,2025-10-09,2025-10-09,2025-10-09
000712,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20
000713,2025-10-23,2025-10-23,2025-10-23,2025-10-23,2025-10-23
000714,2026-03-12,2026-03-12,2026-03-12,2026-03-12,2026-03-12
000715,2026-06-26,NONE,NONE,NONE,NONE
000716,2025-11-07,2025-11-07,2025-11-07,2025-11-07,2025-11-07
000717,2025-10-12,NONE,NONE,NONE,NONE
000718,2026-01-17,2026-01-17,2026-01-17,2026-01-17,2026-01-17
000719,2026-04-04,2026-04-04,2026-04-04,2026-04-04,2026-04-04
000720,2026-02-28,2026-02-28,2026-02-28,2026-02-28,2026-02-28
000721,2026-12-17,2026-12-17,2026-12-17,2026-12-17,2026-12-17
000722,2026-08-04,NONE,NONE,NONE,NONE
000723,2026-05-10,NONE,NONE,NONE,NONE
000724,2026-05-20,2026-05-20,2026-05-20,2026-05-20,2026-05-20
000725,2026-04-16,2026-04-16,2026-04-16,2026-04-16,2026-04-16
000726,2026-09-16,NONE,NONE,NONE,NONE
000727,2026-06-22,NONE,NONE,NONE,NONE
000728,2026-06-24,2026-06-24,2026-06-24,2026-06-24,2026-06-24
000729,2026-01-07,2026-01-07,2026-01-07,2026-01-07,2026-01-07
000730,2026-02-26,NONE,NONE,NONE,NONE
000731,2026-03-08,NONE,NONE,NONE,NONE
000732,2026-03-16,NONE,NONE,NONE,NONE
000733,2026-03-24,NONE,NONE,NONE,NONE
000734,2025-10-28,2025-10-28,2025-10-28,2025-10-28,2025-10-28
000735,2027-01-12,2027-01-12,2027-01-12,2027-01-12,2027-01-12
000736,2026-12-17,2025-12-17,2025-12-17,2025-12-17,2025-12-17
000737,2026-03-04,2026-03-04,2026-03-04,2026-03-04,2026-03-04
000738,2026-02-12,2026-02-12,2026-02-12,2026-02-12,2026-02-12
000739,2024-08-07,2024-08-07,2024-08-07,2024-08-07,2024-08-07
000740,2026-07-23,2026-07-23,2026-07-23,2026-07-23,2026-07-23
000741,2025-12-03,2025-12-03,2025-12-03,2025-12-03,2025-12-03
000742,2026-05-01,NONE,NONE,NONE,NONE
000743,2026-11-16,2026-11-16,2026-11-16,2026-11-16,2026-11-16
000744,2027-08-18,2027-08-18,2027-08-18,2027-08-18,2027-08-18
000745,2026-01-10,2026-01-10,2026-01-10,2026-01-10,2026-01-10
000746,2026-06-23,2026-06-23,2026-06-23,2026-06-23,2026-06-23
000747,2026-06-22,2026-06-22,2026-06-22,2026-06-22,2026-06-22
000748,2027-01-22,2027-01-22,2027-01-22,2027-01-22,2027-01-22
000749,2026-01-21,NONE,NONE,NONE,NONE
000750,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-01-06
000751,2025-05-08,2025-05-08,2025-05-08,2025-05-08,2025-05-08
000752,2026-07-09,2020-07-19,2026-07-09,2026-07-09,2026-07-09
000753,2026-03-18,NONE,NONE,NONE,NONE
000754,2026-05-24,2026-05-24,2026-05-24,2026-05-24,2026-05-24
000755,2026-04-30,2026-04-30,2026-04-30,2026-04-30,2026-04-30
000756,2027-02-24,2027-02-24,2027-02-24,2027-02-24,2027-02-24
000757,NONE-10-22,NONE-10-22,NONE-10-02,NONE-10-02,NONE-10-02
000758,2026-03-11,2026-03-11,2026-03-11,2026-03-11,2026-03-11
000759,2026-05-14,2026-05-14,2026-05-14,2026-05-14,2026-05-14
000760,NONE-11-20,NONE,NONE,NONE,NONE
000761,NONE-11-11,NONE,NONE,NONE,NONE
000762,2026-08-02,2026-08-02,2026-08-02,2026-08-02,2026-08-02
000763,NONE-11-12,NONE,NONE,NONE,NONE
000764,2026-03-12,NONE,NONE,NONE,NONE
000766,2026-09-24,2024-09-26,2024-09-26,2024-09-26,2024-09-26
000767,2026-03-12,NONE,NONE,NONE,NONE
000768,2026-06-26,NONE,NONE,NONE,NONE
000769,2026-12-10,2026-12-10,2026-12-10,2026-12-10,2026-12-10
000770,2030-04-NONE,NONE,NONE,NONE,NONE
000771,2026-11-19,NONE,NONE,NONE,NONE
000772,NONE-12-20,NONE-12-20,NONE-12-20,NONE-12-20,NONE-12-20
000773,NONE-12-10,NONE-12-10,NONE-12-10,NONE-12-10,NONE-12-10
