file,n_boxes,n_stage1,date_stage1,date_stage2,texts
images\002883.jpg,14,11,,,"2023.12:08_F3 |  | 유에도 | 발래미께기, 새 제 | 거나 세요 | 도마나 행주는시크로 | 안심살균! | 식초를 의석안이 | 안심세! | 얼용한살김 적시비 | 먹는오뚜기 식초 | 10:47 | L | 0"
images\000258.jpg,15,14,2026-05-30,,"까지 비 | 11:23 | 2026.05.30 | 소비기한 | 교환:구입처및제조원·www.daesangdives.com | HACCP | 안전관리인증 | ·뚜껑을 처음 열때 '뱅소리‘가 나야 정상입니다.·반품 및 | 19 | 성분혼입가능.용기를 가열 조리용으로 사용불가·부정·불량식품신고는 국번 | 토, 아황산류,호두,닭고기,쇠고기,오징어,조개류(굴,전복,홍합 포함),잣 | 류에한함),우유메밀,,대두밀고등어,게새우,돼지고기,복숭아,토마 | (1e09)608 / %09 | 후광이가발생할수있으니반드시냉장보관하시고빨리드세요.알(가금"
images\000783.jpeg,3,3,2025-12-21,,25.12.21지 15sU20 | 저지방/딸기 | ACTIVA
images\002325.jpg,5,4,2020-09-06,,22:47 | 2020.09.06 | 유통기한 | 프Y
images\000909.jpg,8,7,,,20-09-2021 | 8066001428758 | 있습니다 -부정-량 식는 인입이199 | 소자 에 |  | 2B8. | 초면바 | 시른에 실은 보관하십시오
images\000978.jpg,38,0,,,"ONNEDDNAREINNNANN VISTDMA DA TINEDOON | DNRERNS YIONSNOISDISMNENS TONI MEISOU | VINA MNIS REIIRTN NASIN | DVIN ISVMHOANI | ISUIDIE BS IIENNAI | TIA MNSENA NROREINOARSAROI MNNOINENDESN | OONA SNNN ONEN | V/SV | DNRA BEMEIS MINDHRIS DENS EMA MRERREI SN INEISIS | eUeTuDU | 1 | d uedIo qwabay peugoop-oN enS nol eum uopaibul | s o o eSN OH o suUD- | INOABCUAOUDI | uog nyosSNuognposuey bu | aneN zeSue eos ru as Wo es cosN | uouo ogeuls pue pued jo aue sae poo |  | s pe m Seo a | sinueod pue | u uupeuo sanpoud sesseood osje jeug juudinbe uo paungoenuew | IDONNONSOOOO | 02 | Aq peinqusi pue pouodul |  | oul soudduud zopepuow | / | Souddd  anbeeed any sos Va e | M |  |  | woziunuo | iospeae ap pue O INI | XENO2 | ""uossuued sepun pesn dnou uogeepul zeapuow | bebet | 2 22 A3 | 31í"
images\003291.jpg,5,1,2022-12-22,,2022.12.22/P
images\000584.jpg,13,13,2025-07-16 2026-07-15,,맛있는 약속 | 까지 | 2026.07.15 | 2025.07.16A | 부터 |  | 5 | CROU | 우동권리보장원 | 앞스 | √아동학대 | 신고는112 | 행복한세상
images\003290.jpg,8,4,2022-12-22,,컴스프 | 콘스프 | 2022.12.22/P | 유통기한
images\002225.jpg,12,12,2022-09-14,,"2022.09.14 | 유통기한 | 에스프레소(40m)로 | 1차추출,30초대기후 | 네스프레소 머신 사용시 | 통고(110m)로2차 추출 | 호완되는 모든 기종에서 | *네스프레소 오리지널 랩슬이 | 이용 가능합니다.(버측오 제외) | No | 해주세요 | 튼을눌러"
images\001835.jpg,1,1,2032-07-01,,2032-07-1=마
images\000374.jpg,43,41,,,"3(무)첨가 | 에 손을 베일 수있으니 주의하십실 | 나안전사고에 주의하십시오 | 한번에 드십시오.·조리 시 제품과 | )2.개봉한 제품은변질의 우려가 | 국내산 참쌀과 입쌀 | ·보관방법:1.실혼보관(냉장및 | 쌀알이굵고깨지지 있은 | 재료 본연의 맛이 살아 있는 | 용한제품과 같은 제조시설에서 제 | 굴포함),오정어,새우,우유게 | 양반죽 1등비법 밤단팔죽은? | 아, 아황산류대루,밀,쇠고기,조 | 토,돼지고기,메밀, 알류,땅고 | 한끼의품격을을리는건강식입니다. | 19950227050186 | 양반죽은 맛과영양을제대로 담아내어 | 폴리프로필렌 | 정제소금 | 모든재료를한번에 넣고오랜시간저으면서끌여내는 | 5.7 %(60 %, 멥쌀 | 192 | 설탕,정제수,팔24%, 물엿,정 | 양반죽은 전롱죽에현대적인 가치를더하여 | 금, 산도조절제B),고운앙금 | 한끼 건강식 양반죽 | 밤7.0%,설탕,비타민C,산 | 든든한아침을 책임지는 | 밭12.0%(중국산),당침 | 도시일까지 | (www.dongwonfnb.com) | 2526.08.28 | 광주광역시 광산구 하남산 | 2:0 | 내용량 420g | 소비기한 | 1등 | 단괄죽 | Donguor | 식 그대로 재료 본연의 값은 맛 |  | 김이R이스  | Sinoe1992"
images\000330.jpg,44,37,2025-10-04 2025-11-02,,"880100 | 새우,대두 함유 | 5291 | 생강페이스트(생강·국산),유산군배양액 | 080-850-1200 | C.J새우액저,하선정멸치액정골드[멀치(국산)], | (HH(국산)],C J김치양념베이스,채소류(국산) | 한에수 있습니다. | 12g4% | 지방 0g 0% | J김지양념풀C | 시방 0g 0% | 탄수화물6g2% | 0g당 30 kcal | AB7 | 총내용량 900 g. |  | F1 |  | 드대상 대통령상 수상 | 소비자중심 | 25.11.02 |  | 25.10.04 |  | 마루로 선명한 빛깔 |  | 잘가간 상 온에 논출될 경우 변질  우려가 있으니 개봉후 | 量1164 | 건인 전북지 / 아도 진안군 부귀면 가정갈  | 사/경기로 화성시 | 115-23F4 | BLOSSOM CAMPUS | 49500799刘 | ：F1-2019045 | 김치/비실균제품 | 소장재질(내면): 플"
images\001311.jpg,17,17,2022-10-20,,"EXPORT | 629262008 | EXF':2022/10/20 | LOT:191001008 | ：6292620008854+ | 건강기능식품이력추적관리번호 | 품과 같은 제조시설에서 제조하고있습 | 등을 | 두,쇠고기,조개류(굴, 전복, 통합 포함 | ※본 제품은 공정거래위원회 | Canada | 심수입원:한정주식회 | CELLE POI | NOUISAO | SEALEO | NOLSAN | [Unnb]"
images\002081.jpg,42,36,2019-06-17 2019-09-16,,"·인주는:보방법 정보 포장니인 르 트 | ·20-및 | 1666-5471（号） | OTHER | 080-850-1200 |  | 조:(주품종식도원주시문무공단길월0 | 소재지 | 소중한 의견을기다립니다 | ·은우의 | 업소명및 | 유통진문관원·씨세페어일담쥐충청북도 진연군 광체원면 광해원산단2일 12 | 고객행복센터 | · 나이물이아 | 참유감이로,이산나트륨(신화방지 이산류 함유 | ·시용후는 반시분리해출하해 주심시오. | 801391102715 | 사과산,구연산,사카린나트림감미,글리신 아스파탐(퍼닐알라닌 | |원재로명 | 본문은 쓰교또는 보받을 수있습니 | 위국선,정제수,지소금국산,산도조적제,스산널보리 | ·은 4두.을시용은  고 있습니. | 유통기한전면표시일까지 | 냉장보관 T0~10 C) 식품유형 | 새콤한 맛이 필요한 요리에 딱!|내용량 18 | 새콤한 맛 | 삼겹살,훈제오리,무쌈말이,냉면 등 | 350 | 19.09.16까지 | 쌈무 | 19.06.17부E18 | 새콤하게 만든 | 하선정 | 한식명가 | 신선한100%국산무로 | CHEILJEDANG"
images\002005.jpg,15,15,2022-07-27,,"※템퍼링 공정 필요없음 | 109（600Kcal） | W1,500 | White Choco | 화이트초코 | 행 복한 쇼콜라띠에 | Happy | Chocolatier | 2022.07.27 | 1라쉐 | rche | WIFOO | Mhilk Choco | 밀크초코 | 1lappy Ch"
images\000447.jpg,3,3,2025-11-22,,2025. 11 22 | BLACK BAREEY TEA | 늘력보리한
images\001235.jpg,28,25,2020-09-26,,/lwwldteconi.cokr | 수신자요금부 | 080-024-6060 | 과 | 까지 | 고객지원센터 | 20.09.26/#2 | 20.03.2704:44 | 부터 | 3450 | OTHER | 비닐류 | 필요 열량에 따라 다를 수 있습니다. | 단백질7g | 콜레스테롤Omg | 상기사진은이미지컷입니다 | 포화지방 16g | 트랜스지방 0.5g미만 | 지방 35g | 당류 38 | 탄수화물60g | 나트륨570mg | 100g당 | 영양정보 | 위해질스
images\002258.jpg,5,5,2022-01-24,,0号三(号)100% 450g | 땅콩또는견과 | 구운아몬드 | 2D22.01.24 | 이미지사진
images\001193.jpg,39,35,,,"부한 바다감&감렬 | THE STARBUCKS·ROAST | 1613036932 | 리치힘&카리엘향 | TASTING NOTES | OTHER | ：080-234-0003：OTHER | 1399 | ·반품 및 교환:구입처 및 수입원 | 받으실 수있습니다. | 분쟁 해결 기준에 의거,교환 또는보상 | ·본 제품은 공정거래위원회 고시 소비자 | 충전했습니다. | L00440303F8 | 제품의 보존성증진을 위해 질소 가스를 | Best before:11/02/2021 | 보관방법 실온 보관 | Proddate:13/02/2020 | 내포장재질 폴리에틸렌 | 06:20 | 원재료명 아라비카 커피원두100% | 중량200g | (Best before, 일/월/년 순) | 유통기한 | tárolandó. Minóségét megórzi: | 제품 뒷면에 표시된 일자까지 | entro il:/Szraz, hüvös helyen | consumarsi preferibilmente | 원산지 포르투갈 | minste houdbaar tot: /Da | 제조사 INESTLE PORTUGAL UNIPESSOAL,LDA | rentemente antes del: I Ten | haltbar bis:/Consumir prefe- | préférence avantle:/Mindestens | 서울특별시서대문구중청로7 | DARK | MEDRA | BLONDE | 수입"
images\002895.jpg,4,4,2024-02-13,,2024.02.13 | 유통기한:하단표기일까지 | 기도광주시 초월을선동길12-4 | 796-64
images\000512.jpg,39,38,2026-02-17,,다르 5 | 5% | 139 | 13% | 탄수회술 22g | 7% | 63g | 19% | 8% | 나트륨150mg | 430 mg | 22% | 1일 영양성분 기준치에 대한 비율 | 30 g당 | 총 내용량당 | 30 g당 140 kcal | 영양정보 | 총 내용량 85g | B4 선순일 23 | 2026.02.17까지 | CB061L011-2001 | 안전확인 신고확인증번호 | 공정거래위원회 | 0-3 | 소비사 | ccm | KC | 643-2501 | 은 부품을 | 을 포함하고 있음 | 의사항:경고!3세 미만의 어린이는 사용일 수없음 | 국 한국 | 사용연령:3세 21사(어린이용) | 37含175 | 202508 | 50mm | [재질:PVC | 모델명 필스티키
images\002243.jpg,41,27,2022-03-13,,2022.03.13 |  | 레스테를0mg0% 단백질0g0% |  | 지방000% 트렌스지방09 포화지방000% | ·정중   | 量500%空量180%8等100% | 영양정보 | ·수 | 27857-4 | 电：7线20004935-65 |  | (원두:에티오피마산/에기체트 100%) | A | 开间100%790%/8间10% |  | 내8명 | 33 g(11 g X 30개입)/120 kcal |  | 유통개한 하단표기일까지 | 본은 세에 위 |  | 스로2 | 있u | /도구 성 정자  | - |  
images\001363.jpg,42,16,,,"04.2021-10:13/1906064 | 143g | Tavsiye edilen tüketim tarihi/Parti no: | Mensei: Tuidor | IsletmeKayitNo:TR-35-K-000884 | yapabilirsiniz | hicbir | Icindek | bosaltip soguk servis yapin. | -Seker | 2-3 adet biskuvi koyulmus kaselere | dilimi veya süt ile islatilms | karistirarak 10 dk sogutun. Dibine kek | Ocaktan aldiktan sonra arada | sup | daha karistirarak pisirmeye devam | 8코 | AAO | 9 | R.8 | 1006 |  | Net: | roa | 3 | 169 | Serin, kuru ve kokusuz ortamda saklayiniz. | Türk Gida Kodeksi'ne uygundur. | Domu | Hindistan cevizi rendesi ile süsleyerek servis | ç.kolata rendesi, Dr. Oetker Krem Santi veya | (ksante | tozu,ni | Servis önerisi: Arzuya göre üzerini Antep fistig1, | Tuz | Protel | Karoo | -Doyn | YOR | Enerji | edin. | veya tereyagi ilave edin ve 2-3 dk"
images\003337.jpg,45,39,,,"A y Os E |  020 0%/A | 4 5m0 0% | 영양정보 | 현상이발생할수 | 202006/01 | 있습니다.온도 | 해결기준에의거 | *본 제품은 소비지 | *부정,불량식품 | Product of China | 건조하고 서늘 | 글리프로필렌 | Technology Co., Ltd. | 돼지고기 함 | 나트륨착색료( | Manufacturer: Guangdong Fuwei Health | 0.4%,사과산책 | 사과주스농축 | 오렌지항-포도ㄷ | 나트륨착색료( | 사과산,착색료 | 변성전분,구연 | 시럽,설탐,젤라터 | (식용색소황색제) | (이산화티타는 | 구연산,펙턴,합 | 젤라틴(돼지고기) | 제1호)되지고 | 나트륨착색료(식 | 사과산,착색료(이 | 농축,변성전분,구 | 포도당시럽,설탕 제 | (16g*8봉지IN480K | 표시일까지(읽는비 | 서울시 강서구화고 | 캔디류·수입판매원:홈 | ANIMAL FRIEND | ·제품명:주 질리 동물 | NL | Best Bel | KW | Te | Industrial Park, Chaoshan Road,Shantou,Guangdong.Chin | Add:M3 Zone 11 And Building D No.13-7&08, Jinyuan"
images\002214.jpg,34,28,2020-10-16,,8801007216317 | 20.10.16F1 | 유통기한: | 1666-54718499 |  부신는 | 1계통및죄후보관경우제통변질의우력가있습니다. | 080-850-1200 | 3 | 다.·사용 후 포장지는 반드시 분라배출하여 주십시오 | 2특금중포장손상을입으면제품변질의우려가있습니다. | 주의사항 | E  | 고객행복센터 | ·본제품은 소세자 분정결 기준 의 과는 보을 수있습다. | 기열된 용가는 데우 뜨거우므로 화상생에 주의하십시오 | 영양정보 | 조리방법 | 보관방법 | U구01] | ulabe | 배은 표기일지 | 위개 | -0 국 국신 미 7국신 |  | 으면에  | 미 | 제품a | 뺏면은 무면이으장개가면
images\000833.jpeg,6,6,,,"흔들어 주세요! | 2026,04.27 | HS19:06 | 20 | 인크포 | 또스"
images\002471.jpg,12,5,2021-03-12 2021-03-18,,L22103127228011 | 유통기한:21.03.18A | 등급판정일:21.03.12F1 | XHomeplus  | 하림
images\002242.jpg,44,40,2022-03-13,,"까지 | 880802410238501 | 2022.03.13 | 유통기한 | 별날개판는심가 주십시오 | 단백질 0q0% | 콜레스테롤0mg0% | 구입체 및 판매원에서 교환 하십시오. | 지방 0g0% 트랜스지방 0g 포화지방0g0% | ·유통과정중내용물이변되었을경우섭취하지마고 | 나트륨 5mg0%탄수화물 1q 미만 0% 당류 0q0% | 있으므로 주의해 주십시오 | 1개(1.1 g)당4 kcal | ·제품개봉이나섭취시포장재에의해상처를입을수 | 영양정보 | 총내용량 33 g(1.1 g× 30개입) | 157-10 | 200049035-685 | 내포장제질 폴리에틸렌 | ·부정·불품신고는국번업에으 | (원두:에티오피아산/여가체프 100%] | 보관해 주십시오. | 커피 100%[커피90%(독일산),볶은커피 10% | 원재료명 | ·직선을하고온습도가낮으며,통품이되는곳에 | 33 g(1.1 g X 30개입)/120 kcal | 내용량 | 정당한 소비자피해에대해보상해드립니다. | 하단표기일까지 | 유통기한 | ·본제품은소비자기본법에의한소비지분쟁해결준에의거 | 투플레이스주식회사/충청북도음성군대소연대소신단로20 | 유통전문관원 | 제조사설에서 제조하고 있습니다. | (주자녕/충청남도 천안시 서북구 성거읍 정자 1길 166 | 제조원 | ·이제품은우유일류,평콩대두밀을사용한제품과같은 | 제품명 | ·스틱내질소충전 | 투이리스트스탁커피 마일드블린터식품유형커리"
images\002407.jpg,9,8,,,"조리예 | 10sticks | Macchiato | Caramel | 02.0.0 | 810:38A | CAFE | MaXIim | NETwT.130 g[60 kcal/1sick13g, total 600 kcal/10sticks]"
images\001179.jpg,6,5,,,"6398 | TC/E/PR/1007/478 | 조용동 | Best Before Date:01 5Ef 20z3 | 5285146149 | Pure Ceylon tea, packed in Sri Lanka"
images\001823.jpg,8,7,2021-06-09,,- | 작은일액시 | 르기병   | H | 사용기한: | 2021.06.09 | 제조번호:
images\000376.jpg,25,22,2025-10-07,,"드시기바랍니다.-이제풍은 | -제품 내 간혹 흑막이 발견될 수있 | 이내라도 빨리 드시기 바랍니다.개봉시 뜨거운 | 뚜껑을 살 | 주의사항.-비 냉장 보관 시 소비기한 이내에 변질될 우려가 | 논현로 508, GS 강남타워 19층(역삼동)·영업본부:서울특별시 서 | 국산·다두밀소고기,닭고기,새우오징어 조개류(바지락,굴)함유 | 1일 영양성분 기준치에 대한 비울%은 2,00 kca 가준이므로 개인의  | 100g당45kcal | 영양 총 내용량 360g | 号420mg21%6g2%号1291%不 | 배추2.7 | 2025.10.07까지 | ·기타어육가 | 얼큰한오 | 쫄깃한 어 | EOMUK | OMORI | 김s | 어득 | 오모리 | 유어스프리미엄"
images\002443.jpg,6,5,,,"neuovása | No Braand'"" | K12015月 | 16:06 | BEST BEFORE 11:11:21 | 브랜드가 아니다.소비자다"
